Nome,URL,Estrelas,Linguagem,Idade (anos),PRs aceitas,Total de releases,PRs por ano,Releases por ano,Dias desde última atualização,Issues abertas,Issues fechadas,% issues fechadas
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,542947,Markdown,8.3,157,0,18.9157,0.0,42.2405,275,677,71.1
sindresorhus/awesome,https://github.com/sindresorhus/awesome,499935,Não definida,12.12,702,0,57.9208,0.0,4.523,16,352,95.7
public-apis/public-apis,https://github.com/public-apis/public-apis,470471,Python,10.43,2151,0,206.232,0.0,6.1445,33,910,96.5
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,454603,TypeScript,11.67,29196,0,2501.7995,0.0,0.6425,152,21956,99.3
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,395223,Python,12.87,7424,0,576.8454,0.0,7.4556,40,1256,96.9
openclaw/openclaw,https://github.com/openclaw/openclaw,387611,TypeScript,0.75,28134,235,37512.0,313.3333,0.0021,3630,45058,92.5
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,366032,Python,9.49,210,0,22.1286,0.0,158.9722,278,127,31.4
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,365399,TypeScript,9.45,4401,1,465.7143,0.1058,4.4422,3,3185,99.9
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,359723,Não definida,10.22,415,0,40.6067,0.0,362.4372,81,455,84.9
vinta/awesome-python,https://github.com/vinta/awesome-python,316069,Python,12.16,744,0,61.1842,0.0,0.8775,0,0,
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,315083,Não definida,11.23,0,1,0.0,0.089,3.2614,0,0,
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,280839,Python,9.37,194,0,20.7044,0.0,1.7316,152,88,36.7
obra/superpowers,https://github.com/obra/superpowers,277579,Shell,0.88,167,12,189.7727,13.6364,6.3187,111,755,87.2
996icu/996.ICU,https://github.com/996icu/996.ICU,276771,Não definida,7.42,1072,0,144.4744,0.0,368.7992,0,0,
react/react,https://github.com/react/react,247905,JavaScript,13.25,13048,132,984.7547,9.9623,0.3158,827,13803,94.3
torvalds/linux,https://github.com/torvalds/linux,244403,C,14.97,0,0,0.0,0.0,0.1527,0,0,
affaan-m/ECC,https://github.com/affaan-m/ECC,243211,JavaScript,0.6,998,15,1663.3333,25.0,0.1562,52,668,92.8
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,240355,Não definida,8.17,122,0,14.9327,0.0,644.4665,0,0,
mattpocock/skills,https://github.com/mattpocock/skills,236740,Shell,0.56,95,7,169.6429,12.5,1.4528,392,318,44.8
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,236425,Python,1.09,11806,29,10831.1927,26.6055,0.0118,12212,11770,49.1
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,224029,Python,10.11,3090,0,305.638,0.0,0.4606,146,1608,91.7
vuejs/vue,https://github.com/vuejs/vue,210696,TypeScript,13.07,1136,249,86.9166,19.0513,684.7417,364,9670,96.4
ossu/computer-science,https://github.com/ossu/computer-science,208419,HTML,12.31,315,0,25.589,0.0,42.8152,17,658,97.5
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,207216,Não definida,0.57,12,0,21.0526,0.0,127.63,0,0,
n8n-io/n8n,https://github.com/n8n-io/n8n,202423,TypeScript,7.18,20468,779,2850.6964,108.4958,0.0531,342,9759,96.6
anomalyco/opencode,https://github.com/anomalyco/opencode,201375,TypeScript,1.32,7807,865,5914.3939,655.303,0.0034,4066,20774,83.6
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,197634,C++,10.8,49330,222,4567.5926,20.5556,0.0011,746,40974,98.2
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,196561,JavaScript,8.42,309,0,36.6983,0.0,30.9369,135,238,63.8
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,195682,Markdown,2.24,0,0,0.0,0.0,13.608,0,0,
deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,195307,TypeScript,0.03,0,4,0.0,133.3333,4.5258,0,0,
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195113,Rust,0.4,143,0,357.5,0.0,9.7872,17,2195,99.2
microsoft/vscode,https://github.com/microsoft/vscode,189605,TypeScript,10.98,52498,234,4781.2386,21.3115,0.0055,17747,233942,92.9
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,189375,Shell,16.99,3660,0,215.4208,0.0,0.4388,153,4927,97.0
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,188265,Batchfile,6.62,7,31,1.0574,4.6828,52.3456,4,1074,99.6
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,186929,Python,5.83,3421,136,586.7925,23.3276,0.3624,1979,9986,83.5
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,186868,Python,3.44,4796,118,1394.186,34.3023,0.0006,292,3654,92.6
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,185652,Não definida,8.53,374,0,43.8453,0.0,734.6473,130,449,77.5
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,185611,Jupyter Notebook,8.48,13,0,1.533,0.0,27.4124,543,193,26.2
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184727,Não definida,12.77,370,0,28.9742,0.0,191.8581,0,947,100.0
avelino/awesome-go,https://github.com/avelino/awesome-go,182251,Go,12.14,3885,0,320.0165,0.0,1.0275,23,736,97.0
ollama/ollama,https://github.com/ollama/ollama,179428,Go,3.16,3557,247,1125.6329,78.1646,0.0398,2422,8636,78.1
flutter/flutter,https://github.com/flutter/flutter,178657,Dart,11.47,49816,7,4343.1561,0.6103,0.0152,12539,102774,89.1
microsoft/markitdown,https://github.com/microsoft/markitdown,176258,Python,1.78,184,20,103.3708,11.236,6.2333,401,181,31.1
github/gitignore,https://github.com/github/gitignore,175463,Não definida,15.79,1780,0,112.7296,0.0,0.3399,0,0,
twbs/bootstrap,https://github.com/twbs/bootstrap,174656,MDX,15.07,9503,94,630.5906,6.2376,0.2251,104,22840,99.5
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,172940,Python,10.31,17,68,1.6489,6.5955,23.718,633,2709,81.1
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,172350,TypeScript,2.36,1964,35,832.2034,14.8305,0.005,74,887,92.3
anthropics/skills,https://github.com/anthropics/skills,171584,Python,0.92,51,0,55.4348,0.0,4.3343,329,50,13.2
f/prompts.chat,https://github.com/f/prompts.chat,167899,HTML,3.72,236,0,63.4409,0.0,0.9101,21,152,87.9
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,164666,Python,4.01,1875,27,467.581,6.7332,176.758,2421,5491,69.4
huggingface/transformers,https://github.com/huggingface/transformers,164441,Python,7.82,20278,270,2593.0946,34.5269,0.1139,873,18502,95.5
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,162167,Não definida,11.27,317,0,28.1278,0.0,791.2907,126,138,52.3
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,158033,JavaScript,8.3,1271,0,153.1325,0.0,1.6695,19,1141,98.4
langflow-ai/langflow,https://github.com/langflow-ai/langflow,153679,Python,3.54,7389,305,2087.2881,86.1582,0.0011,223,3213,93.5
langgenius/dify,https://github.com/langgenius/dify,153504,TypeScript,3.37,13605,169,4037.092,50.1484,0.0148,298,18418,98.4
open-webui/open-webui,https://github.com/open-webui/open-webui,149917,Python,2.89,4125,168,1427.3356,58.1315,0.1581,149,9314,98.4
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,148261,C,8.76,153,52,17.4658,5.9361,8.6147,2795,3356,54.6
airbnb/javascript,https://github.com/airbnb/javascript,148137,JavaScript,13.81,822,0,59.5221,0.0,131.2418,100,1316,92.9
msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,148018,Shell,0.87,222,0,255.1724,0.0,19.4879,61,87,58.8
langchain-ai/langchain,https://github.com/langchain-ai/langchain,144984,Python,3.85,17305,1340,4494.8052,348.0519,0.0479,340,9725,96.6
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,143123,Não definida,1.47,52,0,35.3741,0.0,14.5078,90,122,57.5
anthropics/claude-code,https://github.com/anthropics/claude-code,143005,Python,1.5,162,199,108.0,132.6667,0.1114,14158,72761,83.7
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,142166,TypeScript,10.14,494,0,48.7179,0.0,18.5456,34,92,73.0
vercel/next.js,https://github.com/vercel/next.js,141932,JavaScript,9.89,28351,3823,2866.633,386.5521,0.0015,1500,23754,94.1
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,141032,Python,15.82,1646,341,104.0455,21.555,187.352,3627,23205,86.5
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,140117,TypeScript,2.76,1022,67,370.2899,24.2754,0.1815,391,5433,93.3
microsoft/PowerToys,https://github.com/microsoft/PowerToys,138109,C,7.32,7027,144,959.9727,19.6721,0.1152,7409,33823,82.0
iptv-org/iptv,https://github.com/iptv-org/iptv,136712,TypeScript,7.78,7002,0,900.0,0.0,0.0436,5,35271,100.0
golang/go,https://github.com/golang/go,136462,Go,12.02,1,0,0.0832,0.0,0.014,9608,63430,86.8
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,135450,Markdown,6.51,244,0,37.4808,0.0,178.6283,0,981,100.0
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,135263,HTML,11.44,3098,0,270.8042,0.0,0.3913,0,0,
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,134236,Python,2.32,243,0,104.7414,0.0,3.8822,7,167,96.0
github/spec-kit,https://github.com/github/spec-kit,131466,Python,1.01,1447,215,1432.6733,212.8713,0.1689,165,1390,89.4
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,130506,TypeScript,6.65,3962,15,595.7895,2.2556,0.1336,2279,2652,53.8
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,129966,Python,3.6,3189,153,885.8333,42.5,0.0431,4146,5056,54.9
garrytan/gstack,https://github.com/garrytan/gstack,129665,TypeScript,0.46,312,0,678.2609,0.0,0.1649,297,491,62.3
krahets/hello-algo,https://github.com/krahets/hello-algo,129601,Java,3.81,996,10,261.4173,2.6247,8.176,14,278,95.2
farion1231/cc-switch,https://github.com/farion1231/cc-switch,129370,Rust,1.06,459,51,433.0189,48.1132,1.6725,1606,3194,66.5
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,128820,JavaScript,8.74,856,12,97.9405,1.373,6.7864,0,300,100.0
react/react-native,https://github.com/react/react-native,126413,C++,11.62,1002,472,86.2306,40.6196,0.2962,676,27115,97.6
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,125638,C++,3.46,9871,6951,2852.8902,2008.9595,0.0196,820,8847,91.5
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,125189,Go,12.22,65652,814,5372.5041,66.6121,0.3806,1869,47706,96.2
electron/electron,https://github.com/electron/electron,122716,C++,13.37,26827,1991,2006.5071,148.9155,0.0348,643,21199,97.1
shadcn-ui/ui,https://github.com/shadcn-ui/ui,122118,TypeScript,3.64,1459,118,400.8242,32.4176,0.5335,1068,3184,74.9
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,121820,Rust,5.91,4225,39,714.89,6.599,0.5544,85,4241,98.0
nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,120928,Python,0.73,144,41,197.2603,56.1644,0.4064,43,135,75.8
nodejs/node,https://github.com/nodejs/node,119566,JavaScript,11.75,13328,512,1134.2979,43.5745,0.0519,632,20172,97.0
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,119046,Não definida,10.4,41,0,3.9423,0.0,30.9051,0,0,
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,118552,Jupyter Notebook,3.18,601,0,188.9937,0.0,5.8952,0,244,100.0
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,118518,Não definida,12.8,300,3,23.4375,0.2344,28.0231,0,0,
openai/codex,https://github.com/openai/codex,118120,Rust,1.37,9963,1016,7272.2628,741.6058,0.0053,13654,10622,43.8
harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,116469,Python,2.46,225,18,91.4634,7.3171,0.6324,5,780,99.4
rust-lang/rust,https://github.com/rust-lang/rust,116213,Rust,16.19,73814,154,4559.2341,9.512,0.0206,11266,52377,82.3
godotengine/godot,https://github.com/godotengine/godot,116148,C++,12.64,43469,73,3439.0032,5.7753,0.3286,13415,50026,78.9
mrdoob/three.js,https://github.com/mrdoob/three.js,114784,JavaScript,16.42,16045,177,977.162,10.7795,0.4017,247,13507,98.2
2dust/v2rayN,https://github.com/2dust/v2rayN,114660,C#,7.07,616,334,87.1287,47.2419,0.2671,6,7144,99.9
d3/d3,https://github.com/d3/d3,113553,Shell,15.91,495,194,31.1125,12.1936,89.437,5,2242,99.8
immich-app/immich,https://github.com/immich-app/immich,112663,TypeScript,4.56,10084,305,2211.4035,66.886,0.0231,485,8706,94.7
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,111793,Swift,10.11,1249,15,123.541,1.4837,0.7428,160,405,71.7
DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,111041,JavaScript,0.21,174,15,828.5714,71.4286,18.1447,64,211,76.7
microsoft/TypeScript,https://github.com/microsoft/TypeScript,110688,Go,12.19,14931,218,1224.8564,17.8835,0.013,5116,38302,88.2
tauri-apps/tauri,https://github.com/tauri-apps/tauri,110562,Rust,7.12,5678,1636,797.4719,229.7753,0.3631,1290,5135,79.9
browser-use/browser-use,https://github.com/browser-use/browser-use,110517,Python,1.82,1899,135,1043.4066,74.1758,0.0391,112,1505,93.1
Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,110505,Python,0.39,135,196,346.1538,502.5641,0.3117,524,954,64.5
VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,110409,Não definida,0.4,6,0,15.0,0.0,25.5275,307,78,20.3
axios/axios,https://github.com/axios/axios,109199,JavaScript,12.02,1486,124,123.6273,10.3161,0.6244,48,5009,99.1
fatedier/frp,https://github.com/fatedier/frp,109012,Go,10.68,861,116,80.618,10.8614,8.3667,44,4102,98.9
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,108999,Shell,12.69,445,0,35.067,0.0,1.6652,2,250,99.2
supabase/supabase,https://github.com/supabase/supabase,108407,TypeScript,6.87,18839,30,2742.2125,4.3668,0.0009,284,5582,95.2
denoland/deno,https://github.com/denoland/deno,108308,Rust,8.28,16483,388,1990.7005,46.8599,0.0013,1190,13838,92.1
openai/whisper,https://github.com/openai/whisper,107934,Python,3.94,122,13,30.9645,3.2995,28.2041,0,0,
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,106685,TypeScript,1.36,6668,601,4902.9412,441.9118,0.0031,601,13708,95.8
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,105601,Dockerfile,8.94,766,0,85.6823,0.0,71.5634,54,288,84.2
microsoft/terminal,https://github.com/microsoft/terminal,104694,C++,9.04,4526,156,500.6637,17.2566,0.113,1667,12417,88.2
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,104414,Python,1.66,25,1,15.0602,0.6024,362.9081,133,944,87.7
rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,103784,Jupyter Notebook,3.09,508,0,164.4013,0.0,1.4734,2,238,99.2
react/create-react-app,https://github.com/react/create-react-app,103280,JavaScript,10.11,1949,83,192.7794,8.2097,556.9862,1856,6576,78.0
pytorch/pytorch,https://github.com/pytorch/pytorch,102595,Python,10.03,6613,68,659.322,6.7797,0.0016,13928,46618,77.0
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,101966,Não definida,6.49,647,5,99.6918,0.7704,0.6149,463,394,46.0
neovim/neovim,https://github.com/neovim/neovim,101957,Vim Script,12.56,19720,55,1570.0637,4.379,0.229,1585,12929,89.1
fastapi/fastapi,https://github.com/fastapi/fastapi,101853,Python,7.71,3570,301,463.035,39.0402,0.495,1,3545,100.0
ruanyf/weekly,https://github.com/ruanyf/weekly,101272,Não definida,7.87,120,0,15.2478,0.0,5.0428,8803,1706,16.2
angular/angular,https://github.com/angular/angular,101005,TypeScript,11.93,7440,693,623.6379,58.0889,0.072,981,29924,96.8
JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,100949,Go,0.39,60,27,153.8462,69.2308,1.0701,176,188,51.6
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,100337,Não definida,9.0,109,0,12.1111,0.0,239.2328,16,31,66.0
TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,100258,Python,1.66,27,8,16.2651,4.8193,38.387,189,273,59.1
ant-design/ant-design,https://github.com/ant-design/ant-design,99187,TypeScript,11.34,18259,759,1610.1411,66.9312,0.1566,1014,31764,96.9
mui/material-ui,https://github.com/mui/material-ui,98925,JavaScript,12.02,22208,572,1847.5874,47.5874,0.468,1379,19138,93.3
nvbn/thefuck,https://github.com/nvbn/thefuck,97746,Python,11.38,482,17,42.355,1.4938,767.4279,308,483,61.1
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,97337,TypeScript,8.88,3476,307,391.4414,34.5721,11.2283,26,4875,99.5
earendil-works/pi,https://github.com/earendil-works/pi,97238,TypeScript,1.04,925,256,889.4231,246.1538,0.0446,81,5319,98.5
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,97087,Não definida,7.5,151,0,20.1333,0.0,318.4312,148,53,26.4
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,96473,JavaScript,5.79,689,0,118.9983,0.0,20.6244,68,392,85.2
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,96117,Python,2.92,122,13,41.7808,4.4521,3.1666,22,1156,98.1
oven-sh/bun,https://github.com/oven-sh/bun,95689,Rust,5.37,9984,215,1859.2179,40.0372,0.0029,3341,14430,81.2
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,95499,TypeScript,9.3,6234,703,670.3226,75.5914,0.4778,245,7157,96.7
microsoft/playwright,https://github.com/microsoft/playwright,95129,TypeScript,6.78,17747,165,2617.5516,24.3363,0.018,153,17708,99.1
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,94763,JavaScript,9.75,149,0,15.2821,0.0,757.7415,81,166,67.2
nvm-sh/nvm,https://github.com/nvm-sh/nvm,94738,Shell,16.36,761,74,46.5159,4.5232,7.7705,340,2112,86.1
karpathy/autoresearch,https://github.com/karpathy/autoresearch,94688,Python,0.47,7,0,14.8936,0.0,153.0449,54,59,52.2
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,94620,Java,12.04,1585,0,131.6445,0.0,0.8474,119,867,87.9
punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,92818,Não definida,1.73,3393,0,1961.2717,0.0,8.1553,14,550,97.5
deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,92043,Não definida,1.59,10,1,6.2893,0.6289,424.692,12,717,98.4
3b1b/manim,https://github.com/3b1b/manim,92041,Python,11.43,702,13,61.4173,1.1374,7.1726,462,775,62.7
thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,91841,JavaScript,0.98,511,309,521.4286,315.3061,0.0653,64,1912,96.8
ruvnet/RuView,https://github.com/ruvnet/RuView,91639,Rust,1.22,408,291,334.4262,238.5246,0.0272,42,448,91.4
nexu-io/open-design,https://github.com/nexu-io/open-design,91482,TypeScript,0.33,3003,31,9100.0,93.9394,0.1655,463,1379,74.9
storybookjs/storybook,https://github.com/storybookjs/storybook,90934,TypeScript,10.44,13169,1839,1261.3985,176.1494,0.1871,1574,12975,89.2
louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,90606,JavaScript,5.15,1836,134,356.5049,26.0194,0.0457,710,4220,85.6
opencv/opencv,https://github.com/opencv/opencv,90598,C++,14.1,14088,69,999.1489,4.8936,0.4567,2550,9101,78.1
Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,90421,Java,3.58,4169,186,1164.5251,51.9553,0.0395,369,1499,80.2
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,90313,Python,7.67,744,2,97.0013,0.2608,0.8308,98,1080,91.7
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,90208,Vue,9.36,311,49,33.2265,5.235,670.574,1256,2357,65.2
home-assistant/core,https://github.com/home-assistant/core,90108,Python,12.94,90626,1631,7003.5549,126.0433,0.0049,2775,70728,96.2
vllm-project/vllm,https://github.com/vllm-project/vllm,90032,Python,3.54,20357,103,5750.565,29.096,0.002,2203,15371,87.5
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,90011,C++,15.68,16859,68,1075.1913,4.3367,0.1382,333,8847,96.4
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,89940,TypeScript,11.81,2830,210,239.6274,17.7815,0.4188,1458,2342,61.6
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,89863,TypeScript,1.77,1229,27,694.3503,15.2542,5.9998,249,934,79.0
microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,89803,Jupyter Notebook,5.48,496,0,90.5109,0.0,6.0005,2,163,98.8
addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,89766,JavaScript,0.52,134,9,257.6923,17.3077,4.2898,59,81,57.9
gohugoio/hugo,https://github.com/gohugoio/hugo,89546,Go,13.14,3489,381,265.5251,28.9954,1.6496,211,8002,97.4
localsend/localsend,https://github.com/localsend/localsend,89361,Dart,3.69,734,27,198.916,7.3171,2.0422,991,808,44.9
infiniflow/ragflow,https://github.com/infiniflow/ragflow,89242,Go,2.7,8700,53,3222.2222,19.6296,0.4939,1294,6361,83.1
zed-industries/zed,https://github.com/zed-industries/zed,89209,Rust,5.51,26554,1288,4819.2377,233.7568,0.038,2505,20121,88.9
gin-gonic/gin,https://github.com/gin-gonic/gin,89118,Go,12.19,1248,29,102.379,2.379,10.8111,604,1797,74.8
astral-sh/uv,https://github.com/astral-sh/uv,89082,Rust,2.9,10179,304,3510.0,104.8276,0.08,2364,6866,74.4
django/django,https://github.com/django/django,88968,Python,14.32,10694,0,746.7877,0.0,2.2311,0,0,
MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,88713,Não definida,10.84,484,0,44.6494,0.0,31.7583,20,194,90.7
ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,88652,TypeScript,3.46,912,77,263.5838,22.2543,14.9617,705,2906,80.5
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,88267,Python,6.3,3199,33,507.7778,5.2381,34.5505,159,10562,98.5
sveltejs/svelte,https://github.com/sveltejs/svelte,87991,JavaScript,9.76,6854,636,702.2541,65.1639,0.1588,932,8251,89.9
syncthing/syncthing,https://github.com/syncthing/syncthing,87989,Go,12.74,2927,480,229.7488,37.6766,0.9885,360,5583,93.9
ByteByteGoHq/system-design-101,https://github.com/ByteByteGoHq/system-design-101,87536,Não definida,2.93,23,0,7.8498,0.0,508.3207,44,20,31.2
odysseus-dev/odysseus,https://github.com/odysseus-dev/odysseus,86212,Python,0.24,1439,0,5995.8333,0.0,0.5372,995,1111,52.8
OpenCut-app/OpenCut,https://github.com/OpenCut-app/OpenCut,86123,TypeScript,1.17,192,3,164.1026,2.5641,15.3568,268,98,26.8
OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,85097,TypeScript,2.45,7549,134,3081.2245,54.6939,0.1182,323,4294,93.0
laravel/laravel,https://github.com/laravel/laravel,84868,Blade,15.21,1710,228,112.426,14.9901,0.3643,0,0,
macrozheng/mall,https://github.com/macrozheng/mall,84620,Java,8.39,1,3,0.1192,0.3576,103.6946,11,494,97.8
