Nome,URL,Estrelas,Linguagem,Idade (anos),PRs aceitas,Total de releases,PRs por ano,Releases por ano,Dias desde última atualização,Issues abertas,Issues fechadas,% issues fechadas
typicode/husky,https://github.com/typicode/husky,35284,JavaScript,12.17,263,80,21.6105,6.5735,159.0896,82,1032,92.6
DayuanJiang/next-ai-draw-io,https://github.com/DayuanJiang/next-ai-draw-io,35283,TypeScript,1.42,445,18,313.3803,12.6761,0.396,145,189,56.6
sahat/hackathon-starter,https://github.com/sahat/hackathon-starter,35248,JavaScript,12.78,612,18,47.8873,1.4085,1.486,1,727,99.9
esengine/DeepSeek-Reasonix,https://github.com/esengine/DeepSeek-Reasonix,35163,Go,0.34,3433,208,10097.0588,611.7647,0.0226,1181,3092,72.4
utmapp/UTM,https://github.com/utmapp/UTM,35129,Swift,7.37,292,130,39.6201,17.6391,20.7209,1078,2629,70.9
fxsjy/jieba,https://github.com/fxsjy/jieba,35129,Python,13.9,96,9,6.9065,0.6475,734.6587,646,231,26.3
gitroomhq/postiz-app,https://github.com/gitroomhq/postiz-app,35128,TypeScript,3.13,300,199,95.8466,63.5783,0.5387,154,642,80.7
zellij-org/zellij,https://github.com/zellij-org/zellij,35113,Rust,5.98,1538,70,257.1906,11.7057,0.4902,1532,1321,46.3
geekan/HowToLiveLonger,https://github.com/geekan/HowToLiveLonger,35102,Não definida,4.36,14,0,3.211,0.0,463.4595,39,103,72.5
unknwon/the-way-to-go_ZH_CN,https://github.com/unknwon/the-way-to-go_ZH_CN,35033,Go,13.42,592,0,44.1133,0.0,741.7555,0,0,
netty/netty,https://github.com/netty/netty,35033,Java,15.79,5783,13,366.2445,0.8233,0.3321,585,6365,91.6
bumptech/glide,https://github.com/bumptech/glide,35025,Java,13.13,641,59,48.8195,4.4935,0.0026,593,3941,86.9
sorrycc/awesome-javascript,https://github.com/sorrycc/awesome-javascript,35024,Não definida,12.15,414,0,34.0741,0.0,6.3414,5,107,95.5
awesome-foss/awesome-sysadmin,https://github.com/awesome-foss/awesome-sysadmin,34986,Não definida,11.67,369,0,31.6195,0.0,6.6345,0,108,100.0
laravel/framework,https://github.com/laravel/framework,34883,PHP,13.62,18540,969,1361.2335,71.1454,0.1757,59,19260,99.7
qishibo/AnotherRedisDesktopManager,https://github.com/qishibo/AnotherRedisDesktopManager,34691,JavaScript,7.63,161,55,21.1009,7.2084,5.5257,147,976,86.9
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,34686,Python,6.97,0,10,0.0,1.4347,6.8149,472,3102,86.8
TheAlgorithms/C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,34605,C++,10.11,705,0,69.7329,0.0,318.4312,10,334,97.1
kovidgoyal/kitty,https://github.com/kovidgoyal/kitty,34597,Python,9.86,1501,143,152.2312,14.503,0.0286,8,7003,99.9
lissy93/web-check,https://github.com/lissy93/web-check,34597,TypeScript,3.17,74,3,23.3438,0.9464,0.6419,5,145,96.7
ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,34579,Python,12.68,203,62,16.0095,4.8896,3.9038,92,1269,93.2
BVLC/caffe,https://github.com/BVLC/caffe,34556,C++,12.95,1087,14,83.9382,1.0811,755.0846,1318,3940,74.9
anthropics/financial-services,https://github.com/anthropics/financial-services,34515,Python,0.5,43,0,86.0,0.0,0.284,80,9,10.1
v2fly/v2ray-core,https://github.com/v2fly/v2ray-core,34505,Go,7.36,1040,130,141.3043,17.663,0.3038,25,1088,97.8
nothings/stb,https://github.com/nothings/stb,34502,C,12.25,294,0,24.0,0.0,23.771,248,740,74.9
raysan5/raylib,https://github.com/raysan5/raylib,34470,C,12.84,2674,25,208.2555,1.947,0.2875,8,2224,99.6
agentscope-ai/QwenPaw,https://github.com/agentscope-ai/QwenPaw,34466,Python,0.5,2277,110,4554.0,220.0,0.0216,611,2995,83.1
K-Dense-AI/scientific-agent-skills,https://github.com/K-Dense-AI/scientific-agent-skills,34459,Python,0.85,77,101,90.5882,118.8235,1.6593,4,75,94.9
derailed/k9s,https://github.com/derailed/k9s,34432,Go,7.58,1074,258,141.6887,34.0369,0.6948,40,2336,98.3
CMU-Perceptual-Computing-Lab/openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,34403,C++,9.34,174,15,18.6296,1.606,752.9675,340,1667,83.1
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,34392,Java,13.61,4176,120,306.8332,8.817,0.0319,98,11134,99.1
huggingface/diffusers,https://github.com/huggingface/diffusers,34380,Python,4.24,6056,93,1428.3019,21.934,0.1774,815,4727,85.3
jaredpalmer/formik,https://github.com/jaredpalmer/formik,34331,TypeScript,9.2,836,200,90.8696,21.7391,288.3404,703,1567,69.0
xitu/gold-miner,https://github.com/xitu/gold-miner,34327,Não definida,10.81,3563,0,329.6022,0.0,860.6442,14,5590,99.8
python-poetry/poetry,https://github.com/python-poetry/poetry,34293,Python,8.49,2543,151,299.5289,17.7856,1.1517,488,5870,92.3
nodejs/node-v0.x-archive,https://github.com/nodejs/node-v0.x-archive,34285,Não definida,17.25,218,0,12.6377,0.0,740.1943,0,6379,100.0
seaweedfs/seaweedfs,https://github.com/seaweedfs/seaweedfs,34271,Go,12.11,5388,318,444.9216,26.2593,0.0059,674,3377,83.4
backstage/backstage,https://github.com/backstage/backstage,34251,TypeScript,6.58,21629,546,3287.0821,82.9787,0.1505,183,7564,97.6
lightpanda-io/browser,https://github.com/lightpanda-io/browser,34246,Zig,3.55,2508,20,706.4789,5.6338,0.0007,76,432,85.0
balena-io/etcher,https://github.com/balena-io/etcher,34228,TypeScript,10.83,1733,291,160.0185,26.8698,84.6576,643,1862,74.3
TheAlgorithms/JavaScript,https://github.com/TheAlgorithms/JavaScript,34226,JavaScript,9.12,798,0,87.5,0.0,171.4355,21,203,90.6
openai/CLIP,https://github.com/openai/CLIP,34224,Jupyter Notebook,5.69,30,0,5.2724,0.0,153.2678,252,193,43.4
aristocratos/btop,https://github.com/aristocratos/btop,34215,C++,5.3,455,55,85.8491,10.3774,2.6873,457,527,53.6
swc-project/swc,https://github.com/swc-project/swc,34192,Rust,8.67,6183,818,713.1488,94.3483,0.0532,359,3886,91.5
qdrant/qdrant,https://github.com/qdrant/qdrant,34191,Rust,6.24,6692,116,1072.4359,18.5897,0.2596,495,1472,74.8
ehang-io/nps,https://github.com/ehang-io/nps,34175,Go,7.81,74,59,9.475,7.5544,817.8897,505,699,58.1
OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,34125,Python,2.99,161,12,53.8462,4.0134,32.7159,47,287,85.9
zenorocha/clipboard.js,https://github.com/zenorocha/clipboard.js,34119,JavaScript,10.93,117,42,10.7045,3.8426,194.2642,11,618,98.3
anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,34096,Python,0.76,3266,0,4297.3684,0.0,0.1265,920,173,15.8
lllyasviel/ControlNet,https://github.com/lllyasviel/ControlNet,34087,Python,3.56,5,0,1.4045,0.0,912.6408,438,138,24.0
testerSunshine/12306,https://github.com/testerSunshine/12306,34086,Python,9.27,31,1,3.3441,0.1079,1241.9115,224,466,67.5
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,34080,Java,8.79,15,0,1.7065,0.0,762.9649,101,74,42.3
zxing/zxing,https://github.com/zxing/zxing,34076,Java,14.87,389,32,26.1601,2.152,1.4005,0,1352,100.0
fish-shell/fish-shell,https://github.com/fish-shell/fish-shell,34064,Rust,14.29,2213,67,154.8635,4.6886,1.0175,512,7673,93.7
AlexsJones/llmfit,https://github.com/AlexsJones/llmfit,34048,Rust,0.52,473,129,909.6154,248.0769,0.5229,50,193,79.4
MonitorControl/MonitorControl,https://github.com/MonitorControl/MonitorControl,34031,Swift,8.94,223,26,24.9441,2.9083,14.52,13,1014,98.7
chenfei-wu/TaskMatrix,https://github.com/chenfei-wu/TaskMatrix,34006,Python,3.48,21,0,6.0345,0.0,962.9382,228,136,37.4
NginxProxyManager/nginx-proxy-manager,https://github.com/NginxProxyManager/nginx-proxy-manager,33971,TypeScript,8.68,742,88,85.4839,10.1382,0.1315,735,2585,77.9
pcottle/learnGitBranching,https://github.com/pcottle/learnGitBranching,33950,JavaScript,14.03,698,0,49.7505,0.0,0.9802,57,494,89.7
atlassian/react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,33947,JavaScript,9.04,531,68,58.7389,7.5221,372.8589,571,1047,64.7
lib-pku/libpku,https://github.com/lib-pku/libpku,33900,TeX,7.76,22,0,2.8351,0.0,1693.877,11,32,74.4
carbon-language/carbon-lang,https://github.com/carbon-language/carbon-lang,33868,C++,6.33,5689,771,898.7362,121.8009,0.0065,210,661,75.9
explosion/spaCy,https://github.com/explosion/spaCy,33848,Python,12.15,3604,138,296.6255,11.358,1.6987,175,5595,97.0
TabbyML/tabby,https://github.com/TabbyML/tabby,33836,Rust,3.44,3002,249,872.6744,72.3837,56.1905,257,756,74.6
k3s-io/k3s,https://github.com/k3s-io/k3s,33819,Go,8.24,4871,1026,591.1408,124.5146,0.2877,52,7639,99.3
halfrost/LeetCode-Go,https://github.com/halfrost/LeetCode-Go,33792,Go,9.11,182,5,19.978,0.5488,5.1244,0,82,100.0
SerenityOS/serenity,https://github.com/SerenityOS/serenity,33783,C++,7.73,20175,0,2609.9612,0.0,0.5297,726,3589,83.2
binwiederhier/ntfy,https://github.com/binwiederhier/ntfy,33757,Go,4.84,422,108,87.1901,22.314,0.145,327,950,74.4
mli/paper-reading,https://github.com/mli/paper-reading,33730,Não definida,4.84,15,0,3.0992,0.0,521.8908,0,0,
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,33709,C,5.04,24,300,4.7619,59.5238,50.5193,358,2448,87.2
langfuse/langfuse,https://github.com/langfuse/langfuse,33693,TypeScript,3.27,7706,662,2356.5749,202.4465,0.1172,311,2593,89.3
Pythagora-io/gpt-pilot,https://github.com/Pythagora-io/gpt-pilot,33687,Python,3.03,397,0,131.0231,0.0,68.2736,242,316,56.6
alibaba/easyexcel,https://github.com/alibaba/easyexcel,33665,Java,8.55,190,14,22.2222,1.6374,665.7953,489,3128,86.5
anoma/anoma,https://github.com/anoma/anoma,33642,Elixir,5.56,898,14,161.5108,2.518,71.4275,90,630,87.5
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,33633,Java,10.07,88,117,8.7388,11.6187,740.6071,312,1285,80.5
